candidateName,chamber,district,partyDescr,gen_receipts,pri_receipts,tot_receipts,tot_expenditures,tot_cash_on_hand,reports_filed,last_report_end_date,scrape_date
"Bertoglio, Marta  L",House,75,Republican,1440.0,15850.0,17290.0,14227.83,3062.17,4,06/02/2020,2020-05-21
"Stafman, Ed",House,62,Democrat,30589.72,34837.46,65427.18,40313.899999999994,25113.28,8,05/20/2020,2020-05-21
"Loge, Denley  M",House,14,Republican,0.0,5450.0,5450.0,5295.719999999999,154.28,7,05/20/2020,2020-05-21
"Seifert, Donald  F.",House,69,Republican,0.0,8210.15,8210.15,5244.54,2965.61,2,05/15/2020,2020-05-21
"O'Brien, Shannon",Senate,46,Democrat,998.78,21386.22,22385.0,16615.41,5769.59,7,05/14/2020,2020-05-21
"GAUB, DARIN  L.",House,83,Republican,1975.22,0.0,1975.22,996.9100000000001,978.31,3,05/20/2020,2020-05-21
"Wanberg, Gary",House,89,Republican,0.0,0.0,0.0,0.0,0.0,3,05/14/2020,2020-05-21
"Sheldon-Galloway, LOLA",House,22,Republican,0.0,4110.9,4110.9,1013.93,3096.97,5,05/15/2020,2020-05-21
"Harvey, Derek  J",House,74,Democrat,1655.0,0.0,1655.0,431.49,1223.51,4,05/15/2020,2020-05-21
"Braaten, Devin  J",Senate,47,Libertarian,460.0,0.0,460.0,205.28,254.72,3,05/15/2020,2020-05-21
"Hinkle, Jedediah",House,67,Republican,11421.45,10601.01,22022.46,12219.529999999999,9802.93,6,05/17/2020,2020-05-21
"Skime, Nolen  W",Senate,45,Libertarian,0.0,0.0,0.0,0.0,0.0,2,04/20/2020,2020-05-21
"Ler, Brandon  E",House,35,Republican,0.0,7229.87,7229.87,5474.29,1755.58,3,05/15/2020,2020-05-21
"Hamilton, Lana",House,90,Republican,0.0,0.0,0.0,0.0,0.0,3,05/15/2020,2020-05-21
"Hopkins, Mike",House,92,Republican,2970.0,0.0,2970.0,0.0,2970.0,5,04/15/2020,2020-05-21
"Zolnikov, Katie",House,45,Republican,0.0,2895.01,2895.01,879.92,2015.09,5,05/15/2020,2020-05-21
"Dear-Ruel, Jerramy  K",House,06,Democrat,1035.0,0.0,1035.0,54.91,980.09,4,05/15/2020,2020-05-21
"Berglee, Seth  M",House,58,Republican,820.0,0.0,820.0,0.0,820.0,3,05/14/2020,2020-05-21
"Hiner, Cindy  J",House,78,Democrat,0.0,265.0,265.0,151.0,114.0,3,05/14/2020,2020-05-21
"Scalcpane, August  G",House,41,Democrat,0.0,0.0,0.0,0.0,0.0,0,none,2020-05-21
"Brown, Debra  A",Senate,35,Republican,0.0,410.0,410.0,247.89,162.11,3,05/14/2020,2020-05-21
"Fitzpatrick, Steven  J",Senate,10,Republican,0.0,23598.99,23598.99,16539.949999999997,7059.04,8,05/19/2020,2020-05-21
"Meyers, Gilbert  B",House,32,Republican,160.0,0.0,160.0,0.0,160.0,3,05/14/2020,2020-05-21
"Palmer, Cindy  L",House,30,Democrat,0.0,0.0,0.0,0.0,0.0,2,04/15/2020,2020-05-21
"Hinkle, Caleb",House,68,Republican,0.0,6221.76,6221.76,3635.85,2585.91,5,05/18/2020,2020-05-21
"Burgoyne, Nancy  B",House,98,Republican,200.0,0.0,200.0,0.0,200.0,2,05/20/2020,2020-05-21
"DeVries, Greg",House,75,Republican,0.0,15.0,15.0,15.0,0.0,2,04/25/2020,2020-05-21
"Walksnice, Kaden",House,41,Democrat,0.0,0.0,0.0,0.0,0.0,0,none,2020-05-21
"Pierson, Gordon",Senate,39,Democrat,0.0,8270.0,8270.0,6756.12,1513.88,6,05/19/2020,2020-05-21
"Sales, Walt",Senate,35,Republican,0.0,16199.0,16199.0,7358.49,8840.51,6,05/14/2020,2020-05-21
"McGillvray, Tom  V",Senate,23,Republican,29274.0,0.0,29274.0,7233.51,22040.49,8,06/02/2020,2020-05-21
"Novak, Sara  K",House,77,Democrat,0.0,476.05,476.05,402.0,74.05,5,05/15/2020,2020-05-21
"Karjala, Jessica  L",House,48,Democrat,0.0,194.06,194.06,0.0,194.06,2,04/15/2020,2020-05-21
"kephart, james  w",House,74,Republican,250.0,0.0,250.0,197.0,53.0,3,05/14/2020,2020-05-21
"Manzella, Theresa  M",Senate,44,Republican,0.0,20103.93,20103.93,19015.46,1088.47,5,05/20/2020,2020-05-21
"Skees, Derek",House,11,Republican,0.0,4890.0,4890.0,2016.22,2873.78,3,05/20/2020,2020-05-21
"Kassmier, Joshua  J",House,27,Republican,1100.0,0.0,1100.0,25.28,1074.72,5,05/15/2020,2020-05-21
"Duprey, Rick",Senate,36,Republican,0.0,0.0,0.0,0.0,0.0,0,none,2020-05-21
"Lamm, Joe  D",House,60,Republican,200.0,0.0,200.0,0.0,200.0,2,04/20/2020,2020-05-21
"Moore, Terrill  R",House,54,Republican,11305.0,0.0,11305.0,46.0,11259.0,3,05/14/2020,2020-05-21
"Sporkin-Morrison, Barnett  G",House,17,Democrat,0.0,1000.0,1000.0,0.0,1000.0,3,05/20/2020,2020-05-21
"Regier, Amy",House,06,Republican,0.0,5705.0,5705.0,3876.5600000000004,1828.44,5,05/15/2020,2020-05-21
"KerrCarpenter, Emma",House,49,Democrat,1780.0,1175.0,2955.0,541.14,1984.8,3,05/15/2020,2020-05-21
"Crews, James  V",House,88,Republican,0.0,731.25,731.25,691.25,40.0,3,05/14/2020,2020-05-21
"WINDY BOY, JONATHAN",House,32,Democrat,0.0,0.0,0.0,0.0,0.0,3,05/14/2020,2020-05-21
"Smith, Frank  J",House,31,Democrat,515.0,280.0,795.0,15.0,780.0,2,05/20/2020,2020-05-21
"Locati, Matthew",House,85,Republican,0.0,50.0,50.0,0.0,50.0,1,03/16/2020,2020-05-21
"Hull, Charlie",House,84,Republican,0.0,0.0,0.0,0.0,0.0,3,05/16/2020,2020-05-21
"Peppers, Patricia  Rae",Senate,21,Democrat,50.0,680.0,730.0,541.85,188.15,5,05/14/2020,2020-05-21
"Perry, Gary  L",Senate,35,Republican,0.0,2450.0,2450.0,3936.49,-1486.49,4,05/15/2020,2020-05-21
"Moore, David  J",House,99,Republican,3350.0,0.0,3350.0,1091.58,2258.42,3,05/15/2020,2020-05-21
